codepoint,input,ipa,glyph_name
0xe111,ntshe,ntshe,cv_ntsh_e
0xe112,ntshi,ntshi,cv_ntsh_i
0xe113,ntsho,ntsho,cv_ntsh_o
0xe114,ntshu,ntshu,cv_ntsh_u
0xe120,ja,dza,cv_j_a
0xe121,je,dze,cv_j_e
0xe122,ji,dzi,cv_j_i
0xe123,jo,dzo,cv_j_o
0xe124,ju,dzu,cv_j_u
0xe128,tsha,tsha,cv_tsh_a
0xe129,tshe,tshe,cv_tsh_e
0xe12a,tshi,tshi,cv_tsh_i
0xe12b,tsho,tsho,cv_tsh_o
0xe12c,tshu,tshu,cv_tsh_u
0xe140,ca,!a,cv_c_a
0xe141,ce,!e,cv_c_e
0xe142,ci,!i,cv_c_i
0xe143,co,!o,cv_c_o
0xe144,cu,!u,cv_c_u
0xe148,cha,!ha,cv_ch_a
0xe149,che,!he,cv_ch_e
0xe14a,chi,!hi,cv_ch_i
0xe14b,cho,!ho,cv_ch_o
0xe14c,chu,!hu,cv_ch_u
0xe150,gca,g!a,cv_gc_a
0xe151,gce,g!e,cv_gc_e
0xe152,gci,g!i,cv_gc_i
0xe153,gco,g!o,cv_gc_o
0xe154,gcu,g!u,cv_gc_u
0xe158,nca,n!a,cv_nc_a
0xe159,nce,n!e,cv_nc_e
0xe15a,nci,n!i,cv_nc_i
0xe15b,nco,n!o,cv_nc_o
0xe15c,ncu,n!u,cv_nc_u
0xe160,qa,||a,cv_q_a
0xe161,qe,||e,cv_q_e
0xe162,qi,||i,cv_q_i
0xe163,qo,||o,cv_q_o
0xe164,qu,||u,cv_q_u
0xe168,qha,||ha,cv_qh_a
0xe169,qhe,||he,cv_qh_e
0xe16a,qhi,||hi,cv_qh_i
0xe16b,qho,||ho,cv_qh_o
0xe16c,qhu,||hu,cv_qh_u
0xe170,gqa,g||a,cv_gq_a
0xe171,gqe,g||e,cv_gq_e
0xe172,gqi,g||i,cv_gq_i
0xe173,gqo,g||o,cv_gq_o
0xe174,gqu,g||u,cv_gq_u
0xe178,nqa,n||a,cv_nq_a
0xe179,nqe,n||e,cv_nq_e
0xe17a,nqi,n||i,cv_nq_i
0xe17b,nqo,n||o,cv_nq_o
0xe17c,nqu,n||u,cv_nq_u
0xe180,xa,||xa,cv_x_a
0xe181,xe,||xe,cv_x_e
0xe182,xi,||xi,cv_x_i
0xe183,xo,||xo,cv_x_o
0xe184,xu,||xu,cv_x_u
0xe188,xha,||xha,cv_xh_a
0xe189,xhe,||xhe,cv_xh_e
0xe18a,xhi,||xhi,cv_xh_i
0xe18b,xho,||xho,cv_xh_o
0xe18c,xhu,||xhu,cv_xh_u
0xe190,gxa,g||xa,cv_gx_a
0xe191,gxe,g||xe,cv_gx_e
0xe192,gxi,g||xi,cv_gx_i
0xe193,gxo,g||xo,cv_gx_o
0xe194,gxu,g||xu,cv_gx_u
0xe198,nxa,n||xa,cv_nx_a
0xe199,nxe,n||xe,cv_nx_e
0xe19a,nxi,n||xi,cv_nx_i
0xe19b,nxo,n||xo,cv_nx_o
0xe19c,nxu,n||xu,cv_nx_u
0xe1b0,m_syl,m,nasal_m_syllabic
0xe1b1,n_syl,n,nasal_n_syllabic
0xe1b2,ng_syl,ng,nasal_ng_syllabic
